time,seconds_elapsed,dBFS
1717498740416000000,10.23,-48.99983215332031
1717498740516000000,10.33,-46.35106658935547
1717498740616000000,10.43,-26.63327407836914
1717498740716000000,10.53,-31.09632682800293
1717498740816000000,10.63,-35.12324523925781
1717498740916000000,10.73,-38.639427185058594
1717498741016000000,10.83,-41.65810012817383
1717498741116000000,10.93,-44.92864227294922
1717498741216000000,11.03,-47.62638854980469
1717498741316000000,11.13,-49.31675338745117
1717498741416000000,11.23,-43.916343688964844
1717498741517000000,11.331,-46.55146026611328
1717498741616000000,11.43,-24.4937744140625
1717498741716000000,11.53,-28.782365798950195
1717498741817000000,11.631,-33.350921630859375
1717498741933000000,11.747,-37.55642318725586
1717498742033000000,11.847,-41.8008918762207
1717498742133000000,11.947,-44.17121887207031
1717498742233000000,12.047,-46.05165100097656
1717498742333000000,12.147,-47.76538848876953
1717498742433000000,12.247,-46.20294189453125
1717498742533000000,12.347,-47.74414825439453
1717498742633000000,12.447,-23.382884979248047
1717498742733000000,12.547,-28.066558837890625
1717498742833000000,12.647,-31.4179630279541
1717498742933000000,12.747,-35.63679504394531
1717498743033000000,12.847,-38.6523551940918
1717498743133000000,12.947,-41.23065185546875
1717498743233000000,13.047,-44.088497161865234
1717498743334000000,13.148000244140626,-46.41842269897461
1717498743434000000,13.247999755859375,-46.74966049194336
1717498743539000000,13.353,-48.52322006225586
1717498743650000000,13.463999755859374,-25.35077667236328
1717498743750000000,13.564000244140624,-29.105844497680664
1717498743850000000,13.663999755859376,-33.50120162963867
1717498743950000000,13.764000244140625,-37.78704071044922
1717498744050000000,13.863999755859375,-41.0742073059082
1717498744150000000,13.964000244140625,-43.80500793457031
1717498744250000000,14.063999755859374,-45.94561004638672
1717498744350000000,14.164000244140626,-45.536155700683594
1717498744450000000,14.263999755859375,-41.75130081176758
1717498744550000000,14.364000244140625,-44.112972259521484
1717498744650000000,14.463999755859374,-30.935218811035156
1717498744750000000,14.564000244140624,-34.25577926635742
1717498744851000000,14.665,-38.244293212890625
1717498744950000000,14.764000244140625,-41.536048889160156
1717498745051000000,14.865,-44.08673858642578
1717498745151000000,14.965,-46.6640510559082
1717498745251000000,15.065,-44.33006286621094
1717498745351000000,15.165,-43.150978088378906
1717498745451000000,15.265,-45.314544677734375
1717498745551000000,15.365,-46.686065673828125
1717498745651000000,15.465,-20.393335342407227
1717498745751000000,15.565,-25.056203842163086
1717498745867000000,15.681,-30.66973114013672
1717498745967000000,15.781,-34.081180572509766
1717498746067000000,15.881,-38.23629379272461
1717498746167000000,15.981,-41.9242057800293
1717498746268000000,16.082,-44.54973220825195
1717498746367000000,16.181,-47.365230560302734
1717498746467000000,16.281,-44.821144104003906
1717498746567000000,16.381,-46.45887756347656
1717498746668000000,16.482,-22.51906394958496
1717498746768000000,16.582,-27.161462783813477
1717498746868000000,16.682,-30.88730812072754
1717498746968000000,16.782,-35.12002182006836
1717498747068000000,16.882,-39.007205963134766
1717498747168000000,16.982,-42.28196716308594
1717498747268000000,17.082,-44.556068420410156
1717498747368000000,17.182,-45.64066696166992
1717498747468000000,17.282,-47.690704345703125
1717498747568000000,17.382,-45.66629409790039
