time,x,y,z
0.0,-0.0058988316555798,-0.0174451105966232,-0.0243377379208803
0.009942,0.0068512073268357,-0.0098823837247677,-0.0170037417709827
0.0198842,-0.0117712216871615,-0.0097993816164322,-0.0189478615760803
0.029825,0.008349277564598,-0.0023688662895001,-0.0207458509087562
0.039767,-0.0046513626199332,-0.0124017096019349,-0.0220925893425941
0.049709,-0.0080191619775316,-0.0132824379592202,-0.0258306068271398
0.0596513,-0.0119666814688243,-0.0245751634059473,-0.0315150822043418
0.069593,-0.0143011625731771,-0.0393682799227535,-0.0123655605763196
0.079534,-0.0215748034130316,-0.031630561810173,-0.0128168114751577
0.089476,-0.0026010984345746,-0.0154215688797645,-0.0128209031283855
0.099418,0.0101148773063905,-0.0101076255816966,-0.0270382290512323
0.10936,0.0183796503587334,0.003877809547726,-0.0143172791659832
0.119301,0.0065111457344901,-0.0051177631388418,-0.0217991593539714
0.129243,0.0145415791663515,0.0120194140197709,-0.0363157604843378
0.139185,0.0310581618998316,0.0046859475928358,-0.0289835179001092
0.1491271,0.0160671596071915,0.0207930327850393,-0.0292816240638494
0.1590691,0.0321040336739737,0.0285853854279965,-0.0355669879436492
0.16901,0.0148841843422327,0.0263988899680785,-0.0352688817799091
0.178952,0.009663849028194,0.0227155070139095,-0.0294306771457195
0.1888942,0.0038452646932157,-0.0054721478007733,-0.0493313094019889
0.1988362,-0.014375525858975,-0.0211788902974687,0.1212584814935922
0.2087782,0.0290450525287305,-0.0688158168717287,-0.1702420003712177
0.218719,0.0246982463629217,-0.1118940206957049,0.0986667104572057
0.2286612,0.0788369606132153,-0.0900297784825786,-0.0017371990561485
0.2386032,0.0805082913589198,-0.0596362476540729,-0.0493289713144302
0.248545,0.0213283361049834,-0.0264821660710498,-0.0018950199663639
0.258487,-0.0439894003847613,0.0460438669628463,-0.0196972186386585
0.2684282,-0.0673785825762664,0.1156540490826591,-0.0562064558684825
0.2783703,-0.0831430329098366,0.1629879923886619,-0.041839492341876
0.288312,-0.0699793807583861,0.1345959923746064,-0.0373474416196346
0.298254,-0.0017834813167108,0.1058849530066363,-0.039745150411129
0.308195,0.0597832457761745,0.0191688291166909,-0.0424403808444738
0.318137,0.0556059326920658,-0.0469702976253815,-0.0396001889824867
0.328079,0.0241562141913804,-0.1136892335494048,-0.0047317046970129
0.338021,-0.0109471428624703,-0.1406064117705449,0.0082896894395351
0.347963,-0.0027135195752838,-0.1312066969961859,-0.017148703199625
0.357904,0.0069298517788178,-0.1036614500045776,-0.0144552263319492
0.367846,0.0079746127330407,-0.019659955368191,-0.0153512983888387
0.377788,0.0309403944387915,0.0569081561307422,-0.0267196646213531
0.3877301,0.0277536701444769,0.1012244686486199,-0.0550011717319488
0.397672,0.020233554005064,0.1276956018690019,-0.0247737912505865
0.4076131,0.0327090046966448,0.1324721138221211,-0.0214817639678716
0.4175552,0.014635625541798,0.0934939109291881,-0.0467722725689411
0.427497,0.0202723310958943,0.0653171063020825,-0.0294131414890289
0.437439,0.0071995218659401,-0.0105748229683376,-0.0204407304823398
0.447381,0.0087761143997428,-0.0565338246593251,-0.0066805006772279
0.4573222,-0.0137399610519292,-0.0862194812131114,-0.0324199220895767
0.467264,0.0061656727480876,-0.0918405359652824,-0.0156552497714757
0.477206,0.0207270274772774,-0.0544175448914058,-0.0059258829176425
0.487148,0.0222034795382758,-0.0339099779842421,-0.0144523037225008
0.4970892,0.0270619524201145,-0.0037945151784457,-0.0150485160499811
0.507031,0.0161240728596225,0.0163217143235728,-0.0139992992579936
0.516973,0.0056874094030936,0.0080618902993388,-0.0080161331951618
0.526915,-0.0229992238926934,0.001433430336602,-0.0340554143369197
0.536857,-0.0254422513969475,0.005126841494441,-0.0090653499871492
0.546798,-0.0341795750061282,-0.0013785218115895,-0.0096685765773057
0.55674,-0.0132531924567825,-0.0135878871791996,-0.0192471367835998
0.566682,-0.0034870087154093,-0.0271321178797632,-0.0144599025070667
0.5766238,0.0014450990831537,-0.0009543781153857,-0.0207446818649768
0.586566,0.0165728281239862,-0.0061597647387534,-0.0033873043507337
0.596507,-0.0016360950355418,-0.0020714177128858,-0.0382540350705385
0.606449,-0.0102256932951917,5.4068274796e-06,-0.0162538001865148
0.616391,0.0067081044951395,-0.0012681019733659,-0.0168505970358848
0.6263331,0.0012655264237895,0.016333222098276,-0.0271779297828674
0.6362752,0.0199692313799168,0.0006658434975892,-0.021492285361886
0.646216,0.0297919641891843,0.0094610165075398,-0.0381049819886684
0.656158,0.0158476727792585,0.0051262569725513,-0.015360066217184
0.6661002,0.0325469619857496,0.0024687464674003,-0.0114700730413198
0.6760422,0.0438655274099204,-0.0088289839480072,-0.0129652800351381
0.685983,0.0414115994857391,-0.0030110914494842,-0.0238882405877113
0.695925,0.0097861282675701,-0.0098680629384703,-0.0337649069577455
0.705867,-0.0131551902837818,-0.0082909498148597,-0.0220949274301528
0.7158092,-0.0266594679998699,0.0148709127270616,-0.0259819979965686
0.725751,-0.0321389771231915,0.0286682962047867,-0.0210410344630479
0.735692,-0.0277952328474377,0.0278159719580784,-0.025082418808341
0.745634,-0.0222431950607337,0.0132998092191293,-0.0243371533989906
0.7555763,0.0054327587885898,0.0102352705493569,-0.0255389304041862
0.765518,0.0069148049067356,-0.0043462125107645,-0.0268903450131416
0.77546,0.0354737156030489,-0.0097616982208564,-0.0144698393791913
0.785401,0.0484124638242879,-0.0334457397396676,-0.010731237372756
